STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,MINUTE,NHS,RURorURB ,FUNCSYS,ROADOWNER,ROUTE,SPJUR,HARMEV,MANCOLL,RELJCT1,RELJCT2,TYPINT,WRKZONE,RELROAD,LGTCOND,WEATHER1,WEATHER2,WEATHER,SCHBUS,CF1,CF2,CF3,FATALS,Drunk Driver Involved,HOUR
1,0,0,3,3,15,1,2,5,1,2,3,1,2,0,12,6,0,1,1,2,1,1,1,0,1,0,0,0,0,1,0,11
1,0,0,2,2,16,1,3,30,1,2,3,1,2,0,12,2,0,1,1,0,1,3,10,0,10,0,0,0,0,1,1,18
1,0,0,2,2,16,1,3,35,0,1,4,1,3,0,12,2,0,1,1,0,1,2,1,0,1,0,0,0,0,1,1,19
1,0,0,5,5,17,1,4,45,0,1,4,1,2,0,34,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,13
1,0,0,2,2,17,1,4,10,1,2,3,1,2,0,12,6,0,1,1,0,1,1,10,0,10,0,0,0,0,1,0,14
1,0,0,1,1,18,1,5,30,0,1,5,2,4,0,34,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,1,15
1,0,0,1,1,18,1,5,20,0,1,7,2,4,0,18,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,13
1,0,0,2,2,19,1,6,47,1,2,3,1,2,0,12,2,0,1,1,0,1,3,1,0,1,0,0,0,0,1,0,17
1,0,0,1,1,19,1,6,26,0,1,4,1,3,0,42,0,0,1,1,0,5,1,1,0,1,0,0,0,0,1,0,10
1,0,1,2,2,20,1,7,30,1,2,3,1,2,0,8,0,0,1,1,0,1,2,1,0,1,0,0,0,0,1,0,17
1,0,0,1,1,20,1,7,31,0,2,3,1,3,0,59,0,0,1,1,0,3,2,10,0,10,0,0,0,0,1,0,2
1,0,0,1,1,20,1,7,41,0,1,5,1,3,0,59,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,0,21
1,0,0,2,2,21,1,1,12,0,2,5,2,4,0,17,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,1,6
1,0,0,7,7,22,1,2,5,1,1,3,1,3,0,12,6,0,8,1,0,1,1,2,0,2,0,14,0,0,3,0,13
1,0,0,1,1,22,1,2,45,0,1,7,2,4,0,42,0,0,1,1,0,4,1,2,0,2,0,0,0,0,1,0,12
1,0,1,1,1,24,1,4,26,1,2,3,1,2,0,8,0,0,3,2,0,1,3,1,0,1,0,0,0,0,1,0,6
1,0,0,1,1,24,1,4,0,0,1,5,2,4,0,35,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,1,6
1,0,0,1,1,25,1,5,34,0,1,7,2,4,0,35,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,7
1,0,0,1,1,26,1,6,45,0,1,5,1,3,0,58,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,1,12
1,0,0,2,2,26,1,6,30,1,1,3,1,2,0,12,2,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,15
1,0,0,1,1,27,1,7,44,0,1,7,2,4,0,42,0,0,1,1,0,4,4,2,0,2,0,0,0,0,1,0,6
1,0,0,1,1,27,1,7,50,0,2,4,4,6,0,19,0,0,3,3,0,5,3,2,0,2,0,0,0,0,1,0,23
1,0,0,2,2,27,1,7,15,0,1,4,1,3,0,12,2,0,1,1,0,1,2,10,0,10,0,0,0,0,2,1,20
1,0,0,2,2,28,1,1,5,0,1,4,1,3,0,12,2,0,1,1,0,1,1,2,0,2,0,0,0,0,2,1,7
1,0,0,1,1,29,1,2,45,0,1,5,1,3,0,42,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,0,4
1,0,0,2,2,29,1,2,15,0,2,5,4,6,0,42,0,0,1,1,0,4,1,1,0,1,0,0,0,0,2,1,6
1,0,0,1,1,31,1,4,8,0,1,5,2,4,0,32,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,12
1,0,0,1,1,31,1,4,42,0,1,6,2,4,0,59,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,14
1,0,0,2,2,1,2,5,50,0,1,4,1,3,0,35,0,0,1,1,0,4,1,1,0,1,0,0,0,0,2,0,7
1,0,0,1,1,1,2,5,10,0,1,5,1,3,0,42,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,15
1,0,0,2,2,22,2,5,20,1,2,1,1,1,0,12,1,0,1,1,4,1,3,1,0,1,0,28,0,0,1,0,21
1,0,1,1,1,12,2,2,14,1,2,1,1,1,0,8,0,1,18,1,0,1,2,2,0,2,0,0,0,0,1,0,3
1,0,0,3,3,7,2,4,15,1,1,1,1,1,0,12,1,0,1,1,0,1,2,2,0,2,0,23,0,0,1,0,3
1,1,0,1,1,5,2,2,26,1,2,1,1,1,0,14,0,0,1,1,1,2,1,1,0,1,0,0,0,0,1,0,15
1,0,1,1,1,19,1,6,11,1,2,2,4,6,0,8,0,0,1,1,0,1,2,1,0,1,0,19,0,0,1,1,21
1,0,0,2,2,31,1,4,45,0,1,4,1,3,0,34,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,1,20
1,0,0,3,3,2,2,6,35,0,2,5,2,4,0,12,2,0,1,1,0,1,2,1,0,1,0,0,0,0,1,1,20
1,0,0,3,3,2,2,6,29,1,1,3,4,6,0,12,2,0,1,1,0,1,3,1,0,1,0,0,0,0,1,1,21
1,0,0,3,3,2,2,6,5,1,1,3,1,2,0,12,6,0,2,3,0,1,1,1,0,1,0,0,0,0,1,0,17
1,0,0,1,1,2,2,6,50,0,1,4,1,3,0,42,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,6
1,0,0,1,1,3,2,7,41,0,1,5,1,3,0,42,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,1,6
1,0,0,1,1,3,2,7,30,1,1,3,1,2,0,34,0,0,1,1,0,3,2,2,0,2,0,0,0,0,1,1,21
1,0,0,1,1,4,2,1,0,0,2,4,1,3,0,42,0,0,1,1,0,4,2,99,0,99,0,0,0,0,1,1,1
1,0,0,1,1,4,2,1,43,0,1,5,4,6,0,32,0,0,1,1,0,4,2,2,0,2,0,0,0,0,1,0,1
1,0,0,3,3,7,2,4,15,0,2,5,4,6,0,12,6,0,1,1,0,1,3,10,0,10,0,0,0,0,1,1,20
1,0,0,1,1,8,2,5,38,0,1,4,1,3,0,43,0,0,1,1,0,5,2,10,0,10,0,0,0,0,1,1,22
1,0,0,1,1,8,2,5,15,1,2,3,1,2,0,23,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,1,14
1,0,0,1,1,8,2,5,31,0,2,4,4,6,0,42,0,0,1,1,0,4,3,10,0,10,0,0,0,0,1,1,3
1,0,1,3,3,8,2,5,23,1,2,3,1,2,0,8,0,0,1,1,0,1,2,1,0,1,0,0,0,0,1,0,18
1,0,0,1,1,8,2,5,50,0,1,5,1,3,0,42,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,6
1,0,0,1,1,9,2,6,35,0,1,6,2,4,0,1,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,9
1,0,0,3,3,9,2,6,30,1,2,3,1,2,0,12,6,0,2,2,0,1,2,2,0,2,0,0,0,0,1,1,18
1,0,0,2,2,10,2,7,45,0,1,4,1,3,0,12,2,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,15
