STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,NHS,Urban(1)orRural(2),FUNC_SYS,RD_OWNER,ROUTE,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,CF1,CF2,CF3,FATALS,MinutesOfDay,Drunk Driver Involved
1,0,0,1,1,18,1,5,0,1,7,2,4,0,18,0,0,1,1,0,4,1,1,0,0,0,1,800,0
1,0,0,2,2,19,1,6,1,2,3,1,2,0,12,2,0,1,1,0,1,3,1,0,0,0,1,1067,0
1,0,0,1,1,19,1,6,0,1,4,1,3,0,42,0,0,1,1,0,5,1,1,0,0,0,1,626,0
1,0,1,2,2,20,1,7,1,2,3,1,2,0,8,0,0,1,1,0,1,2,1,0,0,0,1,1050,0
1,0,0,1,1,20,1,7,0,2,3,1,3,0,59,0,0,1,1,0,3,2,10,0,0,0,1,151,0
1,0,0,1,1,20,1,7,0,1,5,1,3,0,59,0,0,1,1,0,4,2,1,0,0,0,1,1301,0
1,0,0,2,2,21,1,1,0,2,5,2,4,0,17,0,0,1,1,0,4,2,1,0,0,0,1,372,1
1,0,0,7,7,22,1,2,1,1,3,1,3,0,12,3,0,8,1,0,1,1,2,14,0,0,3,785,0
1,0,0,1,1,22,1,2,0,1,7,2,4,0,42,0,0,1,1,0,4,1,2,0,0,0,1,765,0
1,0,1,1,1,24,1,4,1,2,3,1,2,0,8,0,0,3,2,0,1,3,1,0,0,0,1,386,0
1,0,0,1,1,24,1,4,0,1,5,2,4,0,35,0,0,1,1,0,4,2,1,0,0,0,1,360,1
1,0,0,1,1,25,1,5,0,1,7,2,4,0,35,0,0,1,1,0,4,1,1,0,0,0,1,454,0
1,0,0,1,1,26,1,6,0,1,5,1,3,0,58,0,0,1,1,0,4,1,10,0,0,0,1,765,1
1,0,0,2,2,26,1,6,1,1,3,1,2,0,12,2,0,1,1,0,1,1,1,0,0,0,1,930,0
1,0,0,1,1,27,1,7,0,1,7,2,4,0,42,0,0,1,1,0,4,4,2,0,0,0,1,404,0
1,0,0,1,1,27,1,7,0,2,4,4,6,0,19,0,0,3,3,0,5,3,2,0,0,0,1,1430,0
1,0,0,2,2,27,1,7,0,1,4,1,3,0,12,2,0,1,1,0,1,2,10,0,0,0,2,1215,1
1,0,0,2,2,28,1,1,0,1,4,1,3,0,12,2,0,1,1,0,1,1,2,0,0,0,2,425,1
1,0,0,1,1,29,1,2,0,1,5,1,3,0,42,0,0,1,1,0,4,2,1,0,0,0,1,285,0
1,0,0,2,2,29,1,2,0,2,5,4,6,0,42,0,0,1,1,0,4,1,1,0,0,0,2,375,1
1,0,0,1,1,31,1,4,0,1,5,2,4,0,32,0,0,1,1,0,4,1,1,0,0,0,1,728,0
1,0,0,1,1,31,1,4,0,1,6,2,4,0,59,0,0,1,1,0,4,1,1,0,0,0,1,882,0
1,0,0,2,2,1,2,5,0,1,4,1,3,0,35,0,0,1,1,0,4,1,1,0,0,0,2,470,0
1,0,0,1,1,1,2,5,0,1,5,1,3,0,42,0,0,1,1,0,4,1,1,0,0,0,1,910,0
1,0,0,2,2,22,2,5,1,2,1,1,1,0,12,1,0,1,1,4,1,3,1,28,0,0,1,1280,0
1,0,1,1,1,12,2,2,1,2,1,1,1,0,8,0,1,11,1,0,1,2,2,0,0,0,1,194,0
1,0,0,3,3,7,2,4,1,1,1,1,1,0,12,1,0,1,1,0,1,2,2,23,0,0,1,195,0
1,1,0,1,1,5,2,2,1,2,1,1,1,0,14,0,0,1,1,1,2,1,1,0,0,0,1,926,0
1,0,1,1,1,19,1,6,1,2,2,4,6,0,8,0,0,1,1,0,1,2,1,19,0,0,1,1271,1
1,0,0,2,2,31,1,4,0,1,4,1,3,0,34,0,0,1,1,0,4,2,1,0,0,0,1,1245,1
1,0,0,3,3,2,2,6,0,2,5,2,4,0,12,2,0,1,1,0,1,2,1,0,0,0,1,1235,1
1,0,0,3,3,2,2,6,1,1,3,4,6,0,12,2,0,1,1,0,1,3,1,0,0,0,1,1289,1
1,0,0,3,3,2,2,6,1,1,3,1,2,0,12,3,0,2,3,0,1,1,1,0,0,0,1,1025,0
1,0,0,1,1,2,2,6,0,1,4,1,3,0,42,0,0,1,1,0,4,1,10,0,0,0,1,410,0
1,0,0,1,1,3,2,7,0,1,5,1,3,0,42,0,0,1,1,0,4,1,1,0,0,0,1,401,1
1,0,0,1,1,3,2,7,1,1,3,1,2,0,34,0,0,1,1,0,3,2,2,0,0,0,1,1290,1
1,0,0,1,1,4,2,1,0,2,4,1,3,0,42,0,0,1,1,0,4,2,0,0,0,0,1,60,1
1,0,0,1,1,4,2,1,0,1,5,4,6,0,32,0,0,1,1,0,4,2,2,0,0,0,1,103,0
1,0,0,3,3,7,2,4,0,2,5,4,6,0,12,3,0,1,1,0,1,3,10,0,0,0,1,1215,1
1,0,0,1,1,8,2,5,0,1,4,1,3,0,43,0,0,1,1,0,5,2,10,0,0,0,1,1358,1
1,0,0,1,1,8,2,5,1,2,3,1,2,0,23,0,0,1,1,0,4,1,1,0,0,0,1,855,1
1,0,0,1,1,8,2,5,0,2,4,4,6,0,42,0,0,1,1,0,4,3,10,0,0,0,1,211,1
1,0,1,3,3,8,2,5,1,2,3,1,2,0,8,0,0,1,1,0,1,2,1,0,0,0,1,1103,0
1,0,0,1,1,8,2,5,0,1,5,1,3,0,42,0,0,1,1,0,4,1,1,0,0,0,1,410,0
1,0,0,1,1,9,2,6,0,1,6,2,4,0,1,0,0,1,1,0,4,1,1,0,0,0,1,575,0
1,0,0,3,3,9,2,6,1,2,3,1,2,0,12,3,0,2,2,0,1,2,2,0,0,0,1,1110,1
1,0,0,2,2,10,2,7,0,1,4,1,3,0,12,2,0,1,1,0,1,1,1,0,0,0,1,945,1
1,0,0,4,4,10,2,7,0,1,7,2,4,0,42,0,0,1,1,0,4,1,2,0,0,0,1,755,0
1,0,0,2,2,11,2,1,0,1,5,2,6,0,42,0,0,1,1,0,4,1,10,0,0,0,1,845,1
1,0,0,1,1,11,2,1,0,2,7,4,6,0,19,0,0,1,1,0,5,1,10,0,0,0,1,861,0
1,0,0,2,2,11,2,1,1,2,3,1,2,0,12,1,0,2,3,0,1,2,2,0,0,0,1,1060,0
1,0,1,4,4,12,2,2,1,1,3,1,3,0,8,0,0,1,1,0,1,2,2,0,0,0,1,1094,0
1,0,0,2,2,12,2,2,0,1,4,1,3,0,12,2,0,1,1,1,1,1,10,0,0,0,1,407,0
1,0,0,3,3,12,2,2,0,1,4,1,3,0,35,0,0,1,1,0,4,1,10,0,0,0,1,795,0
1,0,0,2,2,13,2,3,0,1,5,2,4,0,12,2,0,1,1,0,1,1,10,0,0,0,1,440,0
1,0,0,1,1,14,2,4,0,1,5,1,3,0,42,0,0,1,1,0,4,2,2,0,0,0,1,1050,0
1,0,0,1,1,15,2,5,0,2,5,4,6,0,35,0,0,1,1,0,4,1,10,0,0,0,1,570,0
1,0,0,3,3,15,2,5,0,1,6,2,4,0,35,0,0,1,1,0,4,2,1,0,0,0,1,1170,0
1,0,0,3,3,12,2,2,0,2,5,4,6,0,34,0,0,1,1,0,4,1,10,0,0,0,1,1045,0
1,0,0,1,1,17,2,7,0,1,5,1,3,0,42,0,0,1,1,0,4,2,10,0,0,0,1,1335,0
1,0,1,2,2,18,2,1,1,2,1,1,1,0,8,0,1,11,1,0,1,2,2,0,0,0,1,40,0
1,0,0,2,2,18,2,1,0,1,7,2,4,0,35,0,0,3,3,0,4,2,1,0,0,0,1,1150,1
1,0,1,3,3,19,2,2,0,1,7,2,4,0,8,0,0,1,1,0,1,2,10,0,0,0,1,1215,0
1,0,0,2,2,21,2,4,0,1,5,2,4,0,12,2,0,1,1,0,1,1,10,0,0,0,1,710,0
1,0,0,2,2,21,2,4,0,1,4,1,3,0,34,0,0,1,1,0,4,1,10,20,0,0,1,773,0
1,0,0,1,1,21,2,4,1,1,3,2,4,0,42,0,0,1,1,0,4,2,1,0,0,0,1,1292,1
1,0,0,4,4,23,2,6,1,2,3,1,2,0,12,3,0,2,3,0,1,1,1,0,0,0,1,722,0
1,0,0,4,4,23,2,6,0,2,4,4,6,0,12,1,0,8,1,0,1,3,1,0,0,0,1,1135,0
1,0,0,5,5,23,2,6,1,2,3,1,3,0,12,1,0,1,1,0,1,1,1,0,0,0,1,991,1
1,0,0,1,1,23,2,6,0,1,6,4,6,0,1,0,0,1,1,0,1,1,1,0,0,0,1,930,0
1,0,0,3,3,23,2,6,0,1,5,1,3,0,12,3,0,8,1,0,1,3,10,0,0,0,1,1250,0
1,0,1,1,1,24,2,7,1,2,3,1,2,0,8,0,0,2,2,0,1,3,10,0,0,0,1,1302,0
1,0,0,6,6,24,2,7,1,2,3,1,2,0,12,3,0,2,2,0,1,1,10,0,0,0,1,830,0
1,0,0,4,4,24,2,7,0,2,4,4,6,0,12,3,0,2,2,0,1,1,10,0,0,0,1,882,0
1,0,0,1,1,25,2,1,0,1,7,2,4,0,1,0,0,1,1,0,4,1,2,0,0,0,1,1145,0
1,0,0,1,1,25,2,1,0,1,5,1,2,0,42,0,0,1,1,0,4,1,2,0,0,0,1,524,0
1,0,0,2,2,27,2,3,0,1,5,1,3,0,12,3,0,2,3,0,1,2,5,0,0,0,1,330,0
1,0,0,1,1,28,2,4,1,1,3,1,2,0,30,0,0,1,1,0,4,4,2,0,0,0,1,368,0
1,0,0,1,1,28,2,4,0,2,4,4,6,0,33,0,0,1,1,0,4,1,2,0,0,0,1,389,0
1,0,0,1,1,1,3,5,0,1,4,1,3,0,35,0,0,1,1,0,4,1,10,0,0,0,1,460,0
